Diseases,Meaningful_Symptoms,Has_Disease
Does meningococcal B vaccination protect against gonococcal infection?,,Yes
Could some patients with fibromyalgia potentially have hypophosphatasia?,,Yes
The shrinking number of primary care physicians is reaching a tipping point,,Yes
New formulation - Vigadrone (vigabatrin),,Yes
WHO: One in three men worldwide infected with genital HPV,,Yes
Eye-tracking tool may aid in early diagnosis of autism,,Yes
New brand drug - Elrexfio (elranatamab-bcmm),,Yes
Aspirin may cut mortality risk in sepsis-associated acute kidney injury,,Yes
How does heat exposure during pregnancy effect maternal well-being?,,Yes
Long-term data suggest continued HPV vaccine efficacy after 10 years,,Yes
"In-hospital adverse event rates similar for haloperidol, atypical antipsychotics",,Yes
Calcium channel blockers and glaucoma risk: What's the association?,,Yes
Is phenylephrine an effective nasal decongestant? FDA thinks not,,Yes
New brand drug - Talvey (talquetamab-tgvs),,Yes
"Your COVID-19 update for September 8, 2023",,Yes
Air pollution linked to dementia cases,,Yes
"Pfizer, Valneva report positive trial results for Lyme disease vaccine candidate",,Yes
Picture Quiz: An intermammary patch,,Yes
WEFUN capsules voluntarily recalled due to undeclared sildenafil,,Yes
Cephalexin for uncomplicated UTI in women: Is qid dosing necessary?,,Yes
Study finds no link between vaccines and MS flare-ups,,Yes
"What your patients are reading: Week of September 4, 2023",,Yes
Who is more likely to use telehealth services for abortion care?,,Yes
New brand drug - Ycanth (cantharidin topical),,Yes
FDA OKs updated 23andMe test to include additional BRCA variants,,Yes
epocrates Featured Calculator: Modified Wells score for DVT,,Yes
"Study suggests marijuana exposes users to lead, cadmium",,Yes
Is pharmacotherapy cost effective for treating obesity in adolescents?,,Yes
New brand drug - Sohonos (palovarotene),,Yes
"What's this pill? | September 7, 2023",,Yes
,,Yes
Podcast Recap | Intention to Treat: Prospects for Pain,,Yes
Clotting proteins measured during acute COVID-19 may predict later brain fog,,Yes
Does lorazepam impact survival rates among cancer patients?,,Yes
CDC issues health warning after 5 killed by 'flesh-eating' bacteria across East Coast,,Yes
Canakinumab approved for treatment of gout flares,,Yes
CDC issues health warning about increasing RSV activity,,Yes
Single-dose psilocybin—more evidence of benefit in major depressive disorder,,Yes
,,Yes
Universal Meditech recalls all products manufactured between March 2021 and November 2022,,Yes
New brand drug - Breyna (budesonide/formoterol inhaled),,Yes
,,Yes
CDC says highly mutated BA.2.86 detected in at least 4 states,,Yes
,,Yes
Does infertility treatment increase risk of stroke?,,Yes
Is statin use associated with recurrent stroke after intracerebral hemorrhage?,,Yes
New brand drug - Izervay (avacincaptad pegol intravitreal),,Yes
More counterfeit pills implicated in U.S. overdose deaths,,Yes
,,Yes
How do you safely add buspirone to SSRI therapy in patients with CV comorbidities?,,Yes
"Sexual activity key to mpox spread, even among those not reporting male-to-male contact",,Yes
New brand drug - Roctavian (valoctocogene roxaparvovec-rvox) (valoctocogene roxaparvovec),,Yes
Test your knowledge: West Nile virus disease,,Yes
Are adults and children with atopic dermatitis at risk of developing IBD?,,Yes
Drugmaker announces ‘unprecedented’ results for ALK inhibitor in early-stage lung cancer trial,,Yes
"Innovative treatment for anorexia nervosa may positively impact body image, anxiety",,Yes
Artificial intelligence may influence how you prescribe pain medications,,Yes
FDA greenlights Rx-only CBT digital therapeutic for patients with T2DM,,Yes
epocrates Featured Calculator: HAS-BLED Bleeding Risk Score,,Yes
"European regulators reviewing semaglutide, liraglutide following reports of suicidal thoughts",,Yes
"What's this pill? | July 13, 2023",,Yes
FDA approves world’s first dual-chamber leadless pacing system,,Yes
"New brand drug - Arexvy (respiratory syncytial virus vaccine, adjuvanted (RSVPreF3))",,Yes
FDA updates its ADHD treatment guidance as school year begins,,Yes
Are women better surgeons than men?,,Yes
Device-detected atrial high-rate episodes without afib: Do they warrant anticoagulation?,,Yes
,,Yes
Treating mother’s postnatal depression also benefits children,,Yes
Several Hamilton Medical ventilators recalled for potential software malfunction,,Yes
"Your COVID-19 update for September 1, 2023",,Yes
Certain SSRIs linked to pro-arrhythmic effects in older patients,,Yes
,,Yes
Picture Quiz: A screaming Texas toddler,,Yes
Evidence builds for SGLT2 inhibitors' anti-gout effects,,Yes
FDA issues warning letters to 3 infant formula manufacturers,,Yes
Is there a link between osteoporosis and Parkinson disease?,,Yes
"What your patients are reading: Week of August 28, 2023",,Yes
Trial evaluates semaglutide in patients with HFpEF and obesity,,Yes
"What's this pill? | August 31, 2023",,Yes
"Fruit and vegetable prescriptions linked to improved food security, cardiometabolic health",,Yes
epocrates Featured Calculator: Sodium Correction in Hyperglycemia,,Yes
Luspatercept-aamt (Reblozyl) indications expanded for myelodysplastic anemia,,Yes
Several factors linked to declining testosterone levels in older men,,Yes
Brand discontinued in U.S. - HyperHEP B S/D (hepatitis B immune globulin (human)),,Yes
Does colchicine protect against afib in patients undergoing thoracic surgery?,,Yes
Parasitic roundworm found in woman's brain,,Yes
,,Yes
Podcast Recap | Huberman Lab: Balancing caffeine intake,,Yes
"COCA Call: Thurs., Aug. 31 - 2023-2024 recommendations for influenza prevention and treatment in children",,Yes
Do common cancer screenings extend lifespan?,,Yes
First generic versions of Vyvanse gain FDA approval,,Yes
CTE diagnosed in more than 40% of athletes who died before age 30,,Yes
"Should frail, older afib patients switch from VKA therapy to a DOAC?",,Yes
What are the naloxone requirements when treating overdose with novel potent opioids?,,Yes
Aseptic meningitis? Encephalitis? Don't rule out arboviruses,,Yes
Zebra of the Week: Alkaptonuria,,Yes
Does increased screen time for infants affect cognitive outcomes into childhood?,,Yes
,,Yes
New/Expanded indications - Ezallor Sprinkle (rosuvastatin),,Yes
Poor drinking water quality may up likelihood of lung infection in cystic fibrosis,,Yes
CMS announces first 10 drugs up for Medicare price negotiations,,Yes
CDC Health Advisory: Important updates on locally acquired malaria cases identified in the U.S.,,Yes
Can chatbots make accurate cancer treatment recommendations?,,Yes
Parkinson disease gene variant found in people of African ancestry,,Yes
Wildfire smoke caused summer spike in emergency department visits,,Yes
Gender-affirming surgery in the U.S. rose between 2016-2020,,Yes
Which patients aren't good candidates for semaglutide therapy?,,Yes
FDA OKs first biosimilar for treatment of MS,,Yes
Does adenotonsillectomy improve dysphagia outcomes in children with sleep apnea?,,Yes
CDC issues guidance on use of nirsevimab for RSV prevention in infants and children,,Yes
Semaglutide may help curb obesity and CVD prevalence in the U.S.,,Yes
CDC launches program to improve sepsis survival rates,,Yes
"Inmar recalls food, drugs, medical devices stored at Texas facility",,Yes
First-time generic drug - darunavir,,Yes
Eye scans detect Parkinson’s disease years before onset,,Yes
Remdesivir now approved for use in patients with hepatic impairment,,Yes
Which antihistamines can interfere with narcolepsy treatment?,,Yes
Hidden ingredients found in 6 'energy boosters',,Yes
Study finds unexpected results about residents and PTSD during COVID,,Yes
Roughly 1 in 5 report mistreatment in perinatal care,,Yes
Early-onset cancer incidence increased in the U.S. between 2010-2019,,Yes
"Frozen corn, mixed vegetables recalled due to possible Listeria monocytogenes contamination",,Yes
"Your COVID-19 update for August 25, 2023",,Yes
Dexamethasone for migraine treatment in the ED: Is a higher dose more beneficial?,,Yes
Picture Quiz: A pigeon keeper with a persistent skin ulcer,,Yes
Dementia diagnosis: An important time to deprescribe medications,,Yes
USPSTF: At-risk patients should take PrEP to prevent HIV infection,,Yes
New indication - Daxxify (daxibotulinumtoxinA-lanm),,Yes
"What your patients are reading: Week of August 21, 2023",,Yes
Healthy lifestyle changes during pregnancy linked to improved outcomes for mothers and children,,Yes
FDA: Don't use certain MSM-containing eye drops,,Yes
Three dead after Listeria found in milkshakes sold at Tacoma restaurant,,Yes
epocrates decision tools - Acute Diverticulitis Dx/Tx,,Yes
New brand drug - Xdemvy (lotilaner ophthalmic),,Yes
Interhospital transfer of acute stroke patients: How are we doing on timeliness?,,Yes
CDC releases influenza vaccination guidance for 2023-24 season,,Yes
"What's this pill? | August 24, 2023",,Yes
,,Yes
,,Yes
Valbenazine (Ingrezza) indications expanded to include Huntington disease chorea,,Yes
Severe COVID-19 may lead to long-lasting changes in patients' immune systems,,Yes
Certain Nuez de la India products appear to contain highly toxic yellow oleander,,Yes
Physical assault during childhood linked to increased risk of mental illness,,Yes
Pain in the year following MI: What's the impact on mortality?,,Yes
,,Yes
RSV vaccine OK'd for use in pregnancy,,Yes
Certain COPD inhaled meds linked to fracture risk,,Yes
Zebra of the Week: Hypermobile Ehlers-Danlos syndrome,,Yes
Does social media counseling delivered by PCPs benefit young individuals?,,Yes
FDA OKs first treatment for CD55-deficient protein-losing enteropathy (CHAPLE disease),,Yes
Can certain breast cancer patients safely omit radiotherapy?,,Yes
How epidemiological and clinical characteristics of mpox differ in patients over age 50,,Yes
Does liraglutide improve brain function in adults with obesity?,,Yes
Tiny turtles behind multistate Salmonella outbreak,,Yes
IV esketamine for augmenting the effects of oral antidepressants: A randomized pilot study,,Yes
"Marijuana and hallucinogen use, binge drinking hit historic highs for middle-aged adults",,Yes
Brand discontinued in U.S - Adhansia XR (methylphenidate),,Yes
Test your knowledge about berberine—dubbed 'nature's Ozempic' on social media,,Yes
New research identifies clotting risk factors for patients with cancer and COVID-19,,Yes
Anti-inflammatory drug boosts efficacy of morning-after pill,,Yes
Is shift work associated with increased rates of depression and anxiety?,,Yes
NIH establishes centers of excellence to expand maternal health research capabilities,,Yes
"Class I Recall: Cardiosave Hybrid and Rescue Intra-aortic Balloon Pumps, due to circuit board failures",,Yes
"CDC tracking new COVID lineage, BA.2.86",,Yes
Why is #BarbieBotox trending on TikTok?,,Yes
Rx-to-OTC switch - Narcan Nasal Spray (naloxone nasal),,Yes
Does ginkgo diterpene lactone meglumine improve outcomes after ischemic stroke?,,Yes
FDA safety update: Don't use certain UV wands due to unsafe radiation levels,,Yes
Study examines effects of low-dose glucocorticoids in RA patients,,Yes
Protecting infants from critical RSV illness: Lessons learned from the 2022 season,,Yes
"Expanded indication - Ervebo (ebola Zaire vaccine, live)",,Yes
"Hospitalizations up for 4th straight week: Your COVID-19 update for August 18, 2023",,Yes
"New brand drug - Cyfendus (anthrax vaccine, adjuvanted)",,Yes
Anti-CD20 monotherapy for MS may heighten risk for severe neuroinvasive West Nile virus,,Yes
Picture Quiz: A pregnant woman with a reticular rash,,Yes
FDA OKs liver-directed treatment for metastatic uveal melanoma,,Yes
Blood-based test detects more than 20 cancer types,,Yes
First treatment for fibrodysplasia ossificans progressiva wins FDA approval,,Yes
"What your patients are reading | Week of August 14, 2023",,Yes
"Exposure to pigs linked to flu viruses in humans, CDC report shows",,Yes
FDA grants accelerated approval to Elrexfio for relapsed or refractory multiple myeloma,,Yes
Do PPIs increase infection risk in children?,,Yes
New epocrates decision tool - Insulin Product Switching,,Yes
"FDA Class I recall: Philips Respironics recalls Trilogy Evo, Evo O2, EV300, and Evo Universal Ventilators",,Yes
Do SGLT2-Is reduce risk of afib recurrence after ablation in patients with T2DM?,,Yes
Will the latest FDA proposal on salt intake do more harm than good?,,Yes
"What's this pill? | August 17, 2023",,Yes
,,Yes
,,Yes
,,Yes
Brand discontinued in U.S - Twynsta (telmisartan/amlodipine),,Yes
FDA warns against using tests manufactured by Universal Meditech,,Yes
Does air pollution increase dementia risk?,,Yes
KFF Poll: 3 out of 10 people say they or someone in their family has been addicted to opioids,,Yes
Can a headset that measures 'headpulse' better gauge concussion recovery?,,Yes
FDA expands Daxxify label to include cervical dystonia treatment,,Yes
,,Yes
,,Yes
Brand discontinued in U.S - Clarinex-D 24 Hour (desloratadine/pseudoephedrine),,Yes
Penicillin shortage continues in U.S. as syphilis rates soar,,Yes
Pedestrian fatalities in the U.S. higher among men,,Yes
FDA grants full approval to pralsetinib for RET fusion–positive NSCLC,,Yes
Generic vs. brand-name fluticasone-salmeterol for COPD treatment: How do they compare?,,Yes
Playing American football and Parkinson disease: What's the association?,,Yes
FDA approves niraparib and abiraterone acetate plus prednisone for prostate cancer,,Yes
When can a drug interaction cause sinus arrest?,,Yes
How does age impact suicide risk?,,Yes
Social factors a driver in higher CVD mortality among Black patients,,Yes
New formulation - pirfenidone,,Yes
Salmonella outbreak linked to ready-to-eat tofu,,Yes
Izervay wins FDA approval for geographic atrophy,,Yes
New brand drug - Suflave (polyethylene glycol/sodium sulfate/potassium chloride/magnesium sulfate/sodium chloride),,Yes
Do blood tests that screen for cancer do more harm than good?,,Yes
Can electrical brain stimulation help your depressed patients?,,Yes
"Kim Kardashian and other celebrity influencers spark controversy over $2,500 out-of-pocket body scan",,Yes
What percentage of cancer survivors engage in risky drinking behaviors?,,Yes
Can finerenone lower cardiovascular risk in diabetic kidney disease?,,Yes
,,Yes
More than half of hospitalized babesiosis patients may have neurologic symptoms,,Yes
"COCA Call: Thurs., Aug. 17 - We must maintain measles elimination in the U.S.",,Yes
"Can exercise reduce depression, burnout, and absenteeism in health care personnel?",,Yes
epocrates Featured Calculator: Enhanced STOP-Bang screen for OSA in adults,,Yes
Long-term use of PPIs linked to higher risk of dementia,,Yes
,,Yes
Picture Quiz: A man with a mamillated rash and fever,,Yes
Exercise paired with cognitive training may delay onset of dementia,,Yes
First-time generic drug - bepotastine ophthalmic,,Yes
White House launches new tracking tool for heat-related illness,,Yes
"What your patients are reading: Week of August 7, 2023",,Yes
,,Yes
Testicular cancer among military personnel linked to 'forever chemicals',,Yes
AI model can pinpoint origin of enigmatic cancers,,Yes
Video bests direct laryngoscopy for tracheal intubation of critically ill adults,,Yes
Impaired odor identification may signal later dementia in Black and White seniors,,Yes
New brand drug - Vanflyta (quizartinib),,Yes
"Lyme disease: Bella Hadid says she's ""finally healthy"" after ""15 years of invisible suffering""",,Yes
"Eris' on the rise: Your COVID-19 update for August 10, 2023",,Yes
"What's this pill? | August 10, 2023",,Yes
Noninvasive nerve stimulator offers alternative treatment for sleep apnea,,Yes
Podcast Recap | KFF Health News: EPIDEMIC - The goddess of smallpox,,Yes
Novel bacteria strain identified after cat bite,,Yes
Withdrawn FDA approval - oxandrolone,,Yes
Only 20% of Medicaid enrollees getting crucial treatment for hepatitis C,,Yes
Hearing aids slow cognitive decline in high-risk older adults,,Yes
"Women over 70 may be overdiagnosed for breast cancer and face unnecessary treatment, study finds",,Yes
WHO launches abortion-care app for health care workers,,Yes
Five things to know about the first oral medication for postpartum depression,,Yes
Zebra of the Week: Hansen's disease,,Yes
U.S. health systems feeling the heat,,Yes
Relying on one-size-fits-all BP cuffs can lead to inaccurate readings,,Yes
Aerobic vs. muscle-strengthening: Which kinds of exercise and intensity reduce mortality risk?,,Yes
"Unhappy family or trauma in youth can lead to poor health in older age, UCSF study finds",,Yes
Antibiotic-resistant Pseudomonas aeruginosa infections linked to ICU sink,,Yes
How a novel cardiac biomarker can stratify risk in chronic CAD,,Yes
USPSTF recommends daily folic acid supplement before pregnancy,,Yes
Semaglutide cuts risk of major CV events,,Yes
Solanezumab no better than placebo at slowing cognitive decline in preclinical Alzheimer disease,,Yes
Childhood TV viewing tied to higher risk of metabolic syndrome in middle age,,Yes
New dosing regimen - Wegovy (semaglutide),,Yes
Are your patients ready for the RSV vaccine?,,Yes
Obesity and the NICE two-year rule: How long should drug treatment last?,,Yes
What’s the natural history of tobacco exposure with preserved spirometry (TEPS)?,,Yes
Can SGLT-2 inhibitors reduce gout flares and hospitalizations?,,Yes
Study finds high burden of oral HPV in older men,,Yes
Americans want weight-loss drugs but not their potential costs or medical drawbacks,,Yes
Fleaborne typhus on the rise in LA County with 3 deaths reported in 2022,,Yes
New brand drug - Ngenla (somatrogon),,Yes
"COCA Call: Thurs., Aug 10 - Clinical vaccination guidance for pregnant people",,Yes
Are first-time users of hormonal contraceptives at increased risk of developing asthma?,,Yes
CDC recommends new immunization to protect infants from severe RSV disease,,Yes
FDA approves first oral treatment for postpartum depression,,Yes
Medical professionals sound the alarm on vaping-related child nicotine poisoning,,Yes
"AAP reaffirms gender-affirming care policy, calls for research review to guide update",,Yes
Two lots of oral contraceptive Tydemy recalled due to possible reduced effectiveness,,Yes
FDA/DEA Letter to Americans: Stimulant drug shortage,,Yes
"Early peanut feeding practices gaining traction, but more work is needed",,Yes
Picture Quiz: Skin changes with hand and foot weakness,,Yes
Scientists develop breath test that rapidly detects COVID-19 virus,,Yes
Can common bed bugs transmit MRSA?,,Yes
Zilebesiran shows early promise in treating hypertension,,Yes
"What your patients are reading: Week of July 31, 2023",,Yes
Health officials urge TB testing for persons working in poultry plants in North Alabama in wake of outbreak,,Yes
Are patients with RA at higher risk of aortic stenosis?,,Yes
epocrates decision tools - Lyme Disease Dx & Tx - 2023 Update,,Yes
Croup symptoms improve with cold air exposure,,Yes
CGRP monoclonal antibodies for migraine: Do they affect COVID-19 outcomes?,,Yes
FDA Class I recall: SIGMA Spectrum infusion pump and system,,Yes
"Your COVID-19 update for August 3, 2023",,Yes
"What's this pill? | August 3, 2023",,Yes
What’s new? Machine learning’s role in advancing deep brain stimulation,,Yes
Podcast Recap | AMA Update: The future of AI in medicine and what it means for physicians and practices,,Yes
Georgia resident dies from rare Naegleria fowleri brain infection,,Yes
New frontline treatment option greenlighted for endometrial cancer,,Yes
Is leprosy endemic in Florida?,,Yes
Amazon Clinic expands nationwide to provide messaging and video visits for common health conditions,,Yes
VA to study possible links between toxic exposures and certain cancers in service members,,Yes
White House launches Medicare Dementia Care program,,Yes
Large Danish cohort study finds statin effectiveness may rise with patient's age,,Yes
FDA Class I recall: TruSignal SpO2 sensors,,Yes
ACP: Start colorectal cancer screening at age 50,,Yes
Alpha-gal syndrome: Can you identify when symptoms begin?,,Yes
FDA expands indications of Ebola vaccine to include pediatric use,,Yes
Meta-analysis: HIV transmission risk near zero with low viral loads,,Yes
Bacterial testing could reduce antibiotic use in pediatric sinusitis,,Yes
Small trial finds psilocybin safe in females with anorexia nervosa,,Yes
Study highlights competing priorities of parenthood and career for women physicians,,Yes
FDA approves Balfaxar for warfarin reversal,,Yes
Voclosporin found to be safe and effective in long-term lupus nephritis trial,,Yes
Albuminuria testing widely underutilized in patients at risk for CKD,,Yes
FDA Class I recall: Impella left-sided blood pumps,,Yes
Zebra of the Week: Hidradentitis suppurativa,,Yes
Do epidural analgesia and oxytocin given during labor increase the risk of autism in children?,,Yes
Is cadmium exposure a risk factor for endometriosis?,,Yes
CDC: Few clinicians familiar with alpha-gal syndrome,,Yes
New brand drug - Litfulo (ritlecitinib),,Yes
"Your COVID-19 Update for July 31, 2023",,Yes
COVID-19: Study finds Paxlovid underused at U.S. nursing homes,,Yes
TB cases linked to viable bone matrix material,,Yes
Can short bursts of vigorous activity lower cancer risk?,,Yes
Liraglutide effective following poor response to metabolic surgery,,Yes
CDC: Travel-linked dengue cases in U.S. peaked in 2019,,Yes
"Vegetarian diet may significantly improve cholesterol, blood sugar, and body weight",,Yes
FDA OKs second OTC naloxone nasal spray,,Yes
"Low-dose aspirin may increase intracranial bleeding in healthy, older adults",,Yes
Study explains link between CV risk and obstructive sleep apnea,,Yes
New brand drug - Brenzavvy (bexagliflozin),,Yes
"Novel, rapid-acting drug effective for postpartum depression in phase 3 trial",,Yes
New brand drug - Elevidys (delandistrogene moxeparvovec),,Yes
Picture Quiz: Party lips,,Yes
Kratom: What are the potential risks?,,Yes
Rivaroxaban and warfarin similarly safe and effective in patients with CKD,,Yes
Multiplex PCR assay outperforms standard culture for diagnosing respiratory infection,,Yes
"What your patients are reading: Week of July 24, 2023",,Yes
Atomoxetine plus oxybutynin improves multiple variables in OSA,,Yes
FDA approves pulmonary stent to treat pediatric pulmonary artery stenosis,,Yes
epocrates Featured Calculator: MELDNa score,,Yes
How well does HPV vaccination protect against anal HPV and neoplasia?,,Yes
Withdrawn FDA approval - Gavreto (pralsetinib),,Yes
Cancer-associated thrombosis: Anticoagulants compared,,Yes
Xdemvy approved for treatment of Demodex blepharitis,,Yes
"What's this pill? | July 27, 2023",,Yes
Advancements in automated insulin pumps: Tandem Diabetes Care’s Mobi,,Yes
Podcast Recap | Hematuria with Dr. Derek Fine,,Yes
Novel thrombolytic noninferior to alteplase in acute ischemic stroke,,Yes
Patient-controlled epidural anesthesia—Start early for faster post-op pain relief,,Yes
First treatment for molluscum contagiosum wins FDA approval,,Yes
CDC releases guidance on use of RSV vaccines in older adults,,Yes
Women treated for breast cancer may age faster than cancer-free women,,Yes
What's the prevalence of arthritis among children and adolescents?,,Yes
Diagnostic error: Which diseases account for the greatest burden of harms?,,Yes
Zebra of the Week: Hereditary angioedema (HAE),,Yes
Cervical pessary no better than usual care for preterm birth prevention,,Yes
Finger prick test shows promise in detecting Alzheimer disease,,Yes
What are older adults’ medical preferences for the end of life?,,Yes
New indication - Talzenna (talazoparib),,Yes
Charcoal production and use linked to respiratory and nonrespiratory diseases,,Yes
White House opens permanent pandemic preparedness office,,Yes
"Tornado damage to Pfizer plant not likely to lead to major drug shortages, FDA says",,Yes
Daily statin reduces heart disease risk among adults living with HIV,,Yes
"More than 300,000 CUPKIN children’s cups recalled due to high lead levels",,Yes
FDA Class I Recall: Megadyne recalls MEGA 2000 and MEGA SOFT products,,Yes
CDC: Soft tick relapsing fever in the U.S. from 2012 to 2021,,Yes
Gastric bypass surgery linked to risk for substance use disorders,,Yes
Omega-3 fatty acids show promise for maintaining lung health,,Yes
FDA grants approval to adjuvanted anthrax vaccine,,Yes
To reduce antibiotic use for asymptomatic bacteriuria—Avoid unnecessary urine cultures,,Yes
Outbreak of Shiga toxin–producing E. coli linked to farming camp,,Yes
Expanded indication - Nucynta (tapentadol),,Yes
Nine out of 10 herbal sports supplements not accurately labeled,,Yes
FDA approves quizartinib for newly diagnosed acute myeloid leukemia,,Yes
Maternal vaccine elicits antibodies against invasive group B strep in infants,,Yes
MIND diet for brain health shows unexpected results in new clinical trial,,Yes
Is there a genetic basis for COVID-19 'super dodgers'?,,Yes
Tornado damage to North Carolina Pfizer plant raises concerns about more drug shortages,,Yes
Study examines incidence and prevalence of vitiligo in U.S.,,Yes
New brand drug - Adstiladrin (nadofaragene firadenovec),,Yes
Low-dose atropine fails to slow myopia progression in children,,Yes
Does vitamin D3 supplementation reduce afib risk in healthy individuals?,,Yes
Picture quiz: An ill-appearing man with recurring target lesions,,Yes
Expanded indication - Leqvio (inclisiran),,Yes
USPSTF: Evidence lacking for lipid screening in younger patients,,Yes
FDA migraine medication approvals: Trials have had inconsistent endpoints,,Yes
"What your patients are reading: Week of July 17, 2023",,Yes
Testosterone therapy linked to increased CVD risks in cisgender women,,Yes
epocrates decision tools - H. pylori Tx in Adults & Children - Update,,Yes
New brand drugs - Humira (adalimumab) biosimilars now available,,Yes
In which U.S. regions is Alzheimer's most prevalent?,,Yes
FDA Class I Recall: Stop using the Quidel Triage Cardiac Panel,,Yes
FDA greenlights new device to treat BPH,,Yes
"What's this pill? | July 20, 2023",,Yes
Advancements in feeding tube placement: NGPOD®,,Yes
Podcast Recap | Guidelines review: Management of severe traumatic brain injury,,Yes
Does a gun safety video affect children's behavior around guns?,,Yes
Dual antiplatelet therapy noninferior to alteplase in minor stroke,,Yes
New brand drug - Hadlima (adalimumab),,Yes
Vaginal estrogen may help prevent UTI in women with estrogen deficiency,,Yes
Historical redlining linked to worse CV outcomes among U.S. veterans,,Yes
"FDA: Don't use RoyalVibe Health, CellQuicken, or Well-Being Reality ultrasound medical devices",,Yes
Can you ace this airline medical emergencies quiz?,,Yes
Zebra of the Week: Synovial sarcoma,,Yes
Donanemab slows Alzheimer's progression in phase 3 trial,,Yes
Screen-and-treat for bacterial vaginosis: Does it prevent preterm births?,,Yes
Cognitively stimulating activities linked to lower dementia risk in later life,,Yes
"COCA Call: Thurs., July 20 - Review of malaria diagnosis and treatment in the U.S.",,Yes
New brand drug - Columvi (glofitamab),,Yes
"CDC: Cannabis-related ED visits increased in young adults, children during pandemic",,Yes
Remdesivir cleared for use in patients with severe renal impairment,,Yes
P2Y12 inhibitors superior to aspirin for secondary prevention in CAD,,Yes
AI helps accurately triage respiratory symptoms in primary care,,Yes
FDA approves new monoclonal antibody to prevent RSV in babies and toddlers,,Yes
New brand drug - Rystiggo (rozanolixizumab),,Yes
Do immunomodulators shorten COVID-19 pneumonia recovery time?,,Yes
Arizona EDs treat more heatstroke as temperatures hit record highs,,Yes
PPI use may shorten survival for some NSCLC patients on ICI therapy,,Yes
WHO expert agencies consider aspartame a 'possible' carcinogen,,Yes
Carpal tunnel syndrome linked to subsequent heart failure,,Yes
How football raises the risk for chronic traumatic encephalopathy,,Yes
ED visits for teenage girls spiked during pandemic,,Yes
How does maternal egg consumption after birth impact infant egg allergy risk?,,Yes
"NOxBOXi Nitric Oxide System recalled due to risk of gas leaks, therapy interruption",,Yes
Drug-Drug Interaction Quiz: Severe pancytopenia caused by drug interaction,,Yes
New oral cancer survival calculator highlights importance of coexisting conditions,,Yes
Time-restricted eating works as well as calorie counting for weight loss in patients with obesity,,Yes
Campaign aims to create world's largest library of diverse medical images,,Yes
CDC urges 'one-and-done' office visit for hep C testing,,Yes
"Hairdressing, construction among professions linked to ovarian cancer risk",,Yes
WHO: Ongoing avian influenza outbreaks in animals pose risk to humans,,Yes
"Lisa Marie Presley died from bowel obstruction, medical officials say",,Yes
Picture Quiz: A mottled belly,,Yes
Update: Paclitaxel-coated devices for PAD,,Yes
Meta-analysis weighs clinical outcomes of obesity drugs,,Yes
Kindergartener vaccination coverage lowest in last decade,,Yes
"What your patients are reading: Week of July 10, 2023",,Yes
New brand drug - Vyvgart Hytrulo (efgartigimod alfa/hyaluronidase),,Yes
USDA: Transmission of SARS-CoV-2 in free-ranging white-tailed deer in the U.S.,,Yes
New/Expanded indications - Abrilada (adalimumab),,Yes
FDA approves first OTC daily oral contraceptive,,Yes
Podcast Recap | Intention to Treat: Unleashing CRISPR on Cancer,,Yes
EPA proposes stricter limits on lead exposure in homes and child care facilities,,Yes
Study compares aortic aneurysm/dissection risk among fluoroquinolone and macrolide users,,Yes
Screening newborns for deadly immune disorder saves lives,,Yes
New brand drug - Vyjuvek (beremagene geperpavec topical),,Yes
Novel risk score may predict new-onset afib,,Yes
New brand drug - Miebo (perfluorohexyloctane ophthalmic),,Yes
Mask reuse has minimal impact on upper respiratory microbiome,,Yes
Can you identify the symptoms of primary amebic meningoencephalitis (PAM)?,,Yes
Liquid biopsy shows promise in identifying HPV-associated oropharyngeal cancer,,Yes
Zebra of the Week: Vestibular schwannoma,,Yes
More Americans living alone than ever before,,Yes
Is long-acting ART effective in patients with HIV viremia?,,Yes
New brand drug - Elfabrio (pegunigalsidase alfa),,Yes
Patients on rituximab at risk for severe disease from mosquito- and tickborne viruses,,Yes
New brand drug - Hyrimoz (adalimumab),,Yes
"Investigational three-month TB regimen is safe but ineffective, NIH study finds",,Yes
Investigational antiviral shows promise as hepatitis D treatment,,Yes
Pain relief in the ED: Acetaminophen vs. IV/IM NSAIDs or opioids,,Yes
Severe dengue rare among returning travelers,,Yes
340B Program Helps Diabetes Patient Make Ends Meet,,Yes
“Best Dental Care” for the Boyle Family,,Yes
Community resources ease health concerns for Yankton patient,,Yes
Why Should You Get The Flu Shot?,,Yes
Tips to Staying Well This Winter,,Yes
Diabetes Often Goes Undiagnosed,,Yes
"With School Started, It’s Time to Schedule Your Primary Care Visit",,Yes
Horizon telemedicine connects Burmese man with life-saving treatment,,Yes
Stress and Self-Care,,Yes
Horizon Clinic helps Myanmar family find treatment for 5-year-old son,,Yes
Creating a Heart Healthy Lifestyle,,Yes
Lexy Eggert Named Chief Development & Strategy Officer,,Yes
Common Health Questions,,Yes
Boost Mental Health In Your Life,,Yes
Health-Related Resolutions for the New Year,,Yes
Stay Healthy During the Flu Season,,Yes
5 Tips for Healthy Eating During the Holidays,,Yes
Changing kids’ lives – one book at a time,,Yes
Horizon Health Care breaks ground on new Lake Preston clinic,,Yes
Melissa Hofer Named Chief Financial Officer,,Yes
Horizon Health Care Names Wade Erickson as CEO,,Yes
Horizon Colorectal Screening Partnership for 2021,,Yes
