Diseases,Symptoms
Lupus erythematosus (redirect from Cazenave's disease),"problems, or heart symptoms. Syphilis has been known as ""the great imitator"" as it may cause symptoms similar to many other diseases. Syphilis is most..."
Depression (mood) (redirect from Symptoms of depression),Lifestyle diseases can be defined as diseases linked with one's lifestyle. These diseases are non-communicable diseases. They are caused by lack of physical...
Urinary tract infection (redirect from Honeymoon disease),collection of autoimmune diseases in which the human immune system becomes hyperactive and attacks healthy tissues. Symptoms of these diseases can affect many...
Pneumonia (category Coronavirus-associated diseases),such as the loss of a loved one; and it is also a symptom of some physical diseases and a side effect of some drugs and medical treatments. It may feature...
Bronchiectasis (category Chronic lower respiratory diseases),"infection. Diagnosis in young healthy women can be based on symptoms alone. In those with vague symptoms, diagnosis can be difficult because bacteria may be present..."
Streptococcal pharyngitis (section Signs and symptoms),"intubation. Several diseases can present with similar signs and symptoms to pneumonia, such as: chronic obstructive pulmonary disease, asthma, pulmonary..."
Medical students' disease,"Other symptoms include shortness of breath, coughing up blood, and chest pain. Wheezing and nail clubbing may also occur. Those with the disease often..."
Chronic kidney disease,"bacteria without symptoms. Prevention is by frequent hand washing, and not sharing eating utensils. There is no vaccine for the disease. Treatment with..."
HIV/AIDS (redirect from Aids Symptoms),experiencing the symptoms of a disease that they are studying. The condition is associated with the fear of contracting the disease in question. Some...
Hirschsprung's disease,"Initially generally no symptoms are seen, but later symptoms may include leg swelling, feeling tired, vomiting, loss of appetite, and confusion. Complications..."
Hypothyroidism (category Endocrine diseases),"weeks after exposure while others have no significant symptoms. Symptoms occur in 40–90% of cases and most commonly include fever, large tender lymph nodes..."
Reactive arthritis (redirect from Reiter's disease),"constipation. Other symptoms may include vomiting, abdominal pain, diarrhea and slow growth. Most children develop signs and symptoms shortly after birth..."
Cardiovascular disease in women,hypothyroidism often have no or only mild symptoms. Numerous symptoms and signs are associated with hypothyroidism and can be related to the underlying cause...
Lymphatic disease,"into contact with bacteria and developing an infection can trigger the disease. By the time the patient presents with symptoms, often the ""trigger"" infection..."
Diarrhea (redirect from Diarrheal diseases),"term for a wide range of diseases affecting the heart and blood vessels, including but not limited to, coronary artery disease, stroke, cardiomyopathy..."
Encephalitis lethargica (redirect from Economo's disease),Examples include Castleman's disease and lymphedema. Diseases and disorder Hodgkin's Disease/Hodgkin's Lymphoma Hodgkin lymphoma This is a type of cancer...
Sanfilippo syndrome (redirect from San filippo disease),"risk and etiology"". Clinical Infectious Diseases. 41. 41 (Suppl 8): S541-6. doi:10.1086/432949. PMID 16267716. ""Microscopic colitis - Symptoms and causes""..."
Typhus (redirect from Typhus (disease)),The early symptoms would be dominated by sleepiness or wakefulness. A second symptom would lead to an oculogyric crisis. The third symptom would be recovery...
Chlamydia (category Sexually transmitted diseases and infections),adolescence or early adulthood. The disease manifests in young children. Symptoms usually begin to appear between two and six years of age. Affected infants...
Nipah virus infection (category Chiroptera-borne diseases),"group of infectious diseases that include epidemic typhus, scrub typhus, and murine typhus. Common symptoms include fever, headache, and a rash. Typically..."
Congenital syphilis (section Signs and symptoms),infected have no symptoms. When symptoms do appear they may occur only several weeks after infection; the incubation period between exposure and being able...
Genetic disorder (redirect from Hereditary diseases),"infection caused by the Nipah virus. Symptoms from infection vary from none to fever, cough, headache, shortness of breath, and confusion. This may worsen into..."
Rheumatoid arthritis (category Connective tissue diseases),"congenital syphilis have symptoms at birth, but many develop symptoms later. Symptoms may include rash, fever, large liver and spleen, and skeletal abnormalities..."
Raynaud syndrome (redirect from Raynaud's disease and Raynaud's phenomenon),"a catalog of human genes and genetic disorders Genetic and Rare Diseases Information Center (GARD) Office of Rare Diseases (ORD), National Institutes..."
Scurvy (redirect from Wort and rob),"other diseases with similar symptoms. Other diseases that may present similarly include systemic lupus erythematosus, psoriatic arthritis, and fibromyalgia..."
Lewy body dementias (redirect from Sociological and cultural aspects of Lewy body dementia),secondary Raynaud's can also have symptoms related to their underlying diseases. Raynaud's phenomenon is the initial symptom that presents for 70% of patients...
Asymptomatic carrier (category Infectious diseases),"Scurvy is a disease resulting from a lack of vitamin C (ascorbic acid). Early symptoms of deficiency include weakness, fatigue, and sore arms and legs. Without..."
Immune reconstitution inflammatory syndrome (section Signs and symptoms),"Parkinson's disease dementia, and Parkinson's disease) are characterized by shared features of parkinsonism motor symptoms, neuropsychiatric symptoms, impaired..."
Bornholm disease,"signs or symptoms. Although unaffected by the pathogen, carriers can transmit it to others or develop symptoms in later stages of the disease. Asymptomatic..."
Vascular disease,"long-term symptoms and death, particularly when the central nervous system is involved. Management generally involves symptom control and treatment of..."
Gaucher's disease,"outbreak was one of the first to be described. The expected symptoms of Bornholm disease include fever, pleuritic chest pain, or epigastric abdominal..."
Aspirin-exacerbated respiratory disease,"types of vascular disease, including venous diseases, and arterial diseases, and signs and symptoms vary depending on the disease. Those of the arterial..."
Gastroenteritis (category Infectious diseases),"Gaucher's disease is the most common of the lysosomal storage diseases. It is a form of sphingolipidosis (a subgroup of lysosomal storage diseases), as it..."
Autoimmune skin diseases in dogs,"perennial nature of the disease. As there is no cure, treatment of AERD revolves around managing the symptoms of the disease. Corticosteroids, surgery..."
Pogosta disease,"tract including the stomach and intestine. Symptoms may include diarrhea, vomiting, and abdominal pain. Fever, lack of energy, and dehydration may also occur..."
Globalization and disease,"Autoimmune skin disease in dogs are a group of diseases that occur in dogs that are caused by the body's immune system, where the body's white blood cells..."
Hypertrophic cardiomyopathy (redirect from Spike and dome pulse),"Pogosta disease is a viral disease. The symptoms of the disease usually include rash, as well as mild fever and other flu-like symptoms; in most cases..."
Non-Hodgkin lymphoma (redirect from Non-Hodgkin's disease),"history. Early diseases that spread from Asia to Europe were bubonic plague, influenza of various types, and similar infectious diseases. In the current..."
Spinal disease,"and interstitial congestion in the lungs. Symptoms are not closely related to the presence or severity of an outflow tract gradient. Often, symptoms mimic..."
Stroke (redirect from Signs and symptoms of stroke),"except Hodgkin lymphomas. Symptoms include enlarged lymph nodes, fever, night sweats, weight loss, and tiredness. Other symptoms may include bone pain, chest..."
Hereditary spastic paraplegia (redirect from Strumpell-lorrain disease),"recognized spinal diseases, some more common than others. Spinal disease also includes cervical spine diseases, which are diseases in the vertebrae of..."
Carpal tunnel syndrome (section Symptoms),"or loss of vision to one side. Signs and symptoms often appear soon after the stroke has occurred. If symptoms last less than one or two hours, the stroke..."
Bright's disease,of inherited diseases whose main feature is a progressive gait disorder. The disease presents with progressive stiffness (spasticity) and contraction in...
Dermatomyositis (redirect from Malignant disease with dermatomyositis),"the primary symptom, carpal tunnel syndrome is unlikely to be the source of the symptoms. When the symptoms and signs point to atrophy and muscle weakness..."
Dumping syndrome (section Signs and symptoms),"and the presence of albumin in the urine, and was frequently accompanied by high blood pressure and heart disease.[citation needed] The symptoms and signs..."
Pyelonephritis (category Kidney diseases),inflammatory disorder which affects the skin and the muscles. Its symptoms are generally a skin rash and worsening muscle weakness over time. These may...
Alice in Wonderland syndrome (category Symptoms and signs of mental disorders),symptoms of early dumping syndrome and about 25 percent report symptoms of late dumping syndrome. Some people have symptoms of both types of dumping syndrome...
Nasal polyp (section Signs and symptoms),"bacterial infection. Symptoms most often include fever and flank tenderness. Other symptoms may include nausea, burning with urination, and frequent urination..."
Constipation (category Digestive disease symptoms),"encompass symptoms associated with changes in perception of vision, time, hearing, touch, or other external perceptions. With over 60 associated symptoms, Alice..."
Signs and symptoms of pregnancy,"eventually prolapse into the nasal cavity, resulting in symptoms. The most prominent symptoms of nasal polyps is blockage of the nasal passage. People..."
Argas persicus (section Disease and Symptoms),"syndrome, and pelvic floor disorders. Underlying associated diseases include hypothyroidism, diabetes, Parkinson's disease, celiac disease, non-celiac..."
Acute exacerbation of chronic obstructive pulmonary disease,"several symptoms may be present throughout. Depending on severity, common symptoms in pregnancy can develop into complications. Pregnancy symptoms may be..."
Valvular heart disease,"Identification of Parasitic Diseases of Public Health Concern."" Centers for Disease Control and Prevention. Centers for Disease Control and Prevention, 03 May..."
Gonorrhea (section Signs and symptoms),"pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including..."
Sporotrichosis (redirect from Rose gardener's disease),"anomaly. Symptoms of aortic stenosis may include heart failure symptoms, such as dyspnea on exertion (most frequent symptom), orthopnea and paroxysmal..."
Amoebiasis (category Intestinal infectious diseases),"and women with infections of the throat may experience a sore throat, though such infection does not produce symptoms in 90% of cases. Other symptoms..."
Gallstone (redirect from Gallstone disease),"with slow progression and often subtle symptoms. It is often difficult to diagnose, as many other diseases share similar symptoms and therefore must be ruled..."
Heartburn (category Symptoms and signs: Digestive system and abdomen),"Entamoeba histolytica. Amoebiasis can be present with no, mild, or severe symptoms. Symptoms may include lethargy, loss of weight, colonic ulcerations, abdominal..."
Rare disease,"Retrieved 2016-11-14. ""Symptoms & Causes of Gallstones | NIDDK"". National Institute of Diabetes and Digestive and Kidney Diseases. Retrieved 2022-06-28..."
Myalgia (category Symptoms and signs: Nervous and musculoskeletal systems),gastroesophageal reflux disease (GERD) rather than just to describe a symptom of burning in one's chest. Heartburn-like symptoms and/or lower chest or upper...
Batten disease,"created or sold. Most rare diseases are genetic in origin and thus are present throughout the person's entire life, even if symptoms do not immediately appear..."
African tick bite fever (section Signs and symptoms),"is also a common symptom in a variety of diseases, including infectious diseases, such as influenza, muscle abscesses, Lyme disease, malaria, trichinosis..."
Aura (symptom),Batten disease is a fatal disease of the nervous system that typically begins in childhood. Onset of symptoms is usually between 5 and 10 years of age...
Trichinosis (redirect from Trichine disease),of symptoms usually occurs 4–10 days after the bite. Complications are rare but may include joint inflammation. Some people do not develop symptoms. Tick...
Vaginitis (redirect from Circinate (Reiter's disease) vulvovaginitis),"area is affected, the aura will consist of visual symptoms, while if a sensory one, then sensory symptoms will occur. Epileptic auras are subjective sensory..."
Gastric acid (section Role in disease),"trichinosis symptoms may also suggest infection. These symptoms include eye puffiness, splinter hemorrhage, nonspecific gastroenteritis, and muscle pain..."
Milk borne diseases,"vulvovaginitis, is inflammation of the vagina and vulva. Symptoms may include itching, burning, pain, discharge, and a bad smell. Certain types of vaginitis..."
Meningitis (category Wikipedia infectious disease articles ready to translate),"1748-1716.1989.tb08659.x. PMID 2506730. ""Gastroesophageal reflux disease (GERD) - Symptoms and causes"". Mayo Clinic. Retrieved 2023-09-10. Beasley DE, Koltz..."
Gangrene (redirect from Gang green disease),Milk borne diseases are any diseases caused by consumption of milk or dairy products infected or contaminated by pathogens. Milk borne diseases are one of...
Rectal discharge (category Symptoms and signs: Digestive system and abdomen),"the brain and spinal cord, collectively called the meninges. The most common symptoms are fever, headache, and neck stiffness. Other symptoms include confusion..."
Transverse myelitis (category Autoimmune diseases),"blood supply. Symptoms may include a change in skin color to red or black, numbness, swelling, pain, skin breakdown, and coolness. The feet and hands are..."
Attention deficit hyperactivity disorder (redirect from Disturbance of activity and attention),"and Digestive and Kidney Diseases. Retrieved 2019-05-06. ""Symptoms & Causes of Proctitis | NIDDK"". National Institute of Diabetes and Digestive and Kidney..."
Drug withdrawal (redirect from Withdrawal symptoms),"[citation needed] Symptoms include weakness and numbness of the limbs, deficits in sensation and motor skills, dysfunctional urethral and anal sphincter..."
Black pod disease,be a symptom of ADHD for that person. Girls and women with ADHD tend to display fewer hyperactivity and impulsivity symptoms but more symptoms of inattention...
Upper respiratory tract infection (category Infectious diseases),of symptoms that occur upon the abrupt discontinuation or decrease in the intake of pharmaceutical or recreational drugs. In order for the symptoms of...
Endotype (redirect from Disease entity),where the cocoa trees are located and need rainfall in order to spread its spores. The symptom of black pod disease is the necrotic lesion on the cocoa...
Abscess (section Signs and symptoms),"1990. In uncomplicated colds, coughing and nasal discharge may persist for 14 days or more even after other symptoms have resolved. Acute URTIs include rhinitis..."
Hematochezia,"criteria based on signs, symptoms and laboratory findings that define a disease. They define a disease by its symptoms and medical findings. Causal criteria..."
Thyrotoxic myopathy (category Myoneural junction and neuromuscular diseases),"built up within the tissue of the body. Signs and symptoms of abscesses include redness, pain, warmth, and swelling. The swelling may feel fluid-filled..."
Lymphoma (section Signs and symptoms),"Colon Cancer Symptoms - Colorectal Cancer Symptoms. Webmd.com. 2010-10-31. Retrieved 2012-01-31. ""Crohn's Disease: Inflammatory Bowel Diseases (IBD): Merck..."
Laryngitis (section Signs and symptoms),"multinodular goiter and Graves' disease. Physical symptoms of TM may include muscle weakness, the breakdown of muscle tissue, fatigue, and heat intolerance..."
Management of Parkinson's disease,lymphoma. It is generally painless. B symptoms (systemic symptoms) – can be associated with both Hodgkin lymphoma and non-Hodgkin lymphoma. They consist...
Rash (category Symptoms and signs: Skin and subcutaneous tissue),folds. Approximately between 30 and 75% of persons with rheumatoid arthritis report symptoms of laryngitis. Symptoms of laryngitis are present in only...
Hurler syndrome (redirect from Hurler's disease),manage the disease's symptoms. Several medications currently in development seek to better address motor fluctuations and nonmotor symptoms of PD. However...
Conjunctivitis (section Signs and symptoms),"presence of a rash may aid diagnosis; associated signs and symptoms are diagnostic of certain diseases. For example, the rash in measles is an erythematous..."
Tay–Sachs disease,with Hurler syndrome may appear normal at birth and develop symptoms over the first years of life. Symptoms vary between patients.[citation needed] One of...
Alexander disease,"due to tearing and mucoid discharge. Mild photophobia is common. However, if any of these symptoms is prominent, considering other diseases such as glaucoma..."
Scleroderma (category Autoimmune diseases),Patient and caregiver perspectives on burden of disease manifestations in late-onset Tay-Sachs and Sandhoff diseases. Orphanet Journal of Rare Diseases. 15...
Appendicitis (category Diseases of appendix),"coordination, and loss of motor control. Adult-onset forms of Alexander disease are less common. The symptoms sometimes mimic those of Parkinson’s disease or multiple..."
Endocrinology (redirect from Endocrinal diseases),"Diagnosis is based on symptoms, supported by a skin biopsy or blood tests. While no cure is known, treatment may improve symptoms. Medications used include..."
Urethritis (redirect from Urogenital symptoms),"ISSN 1092-9134. PMID 10684382. ""Pelvic inflammatory disease (PID) Symptoms; Diseases and Conditions"". Mayo Clinic. Archived from the original on 2015-05-07..."
Abdominal distension (category Symptoms and signs: Digestive system and abdomen),list of diseases). The medical specialty of endocrinology involves the diagnostic evaluation of a wide variety of symptoms and variations and the long-term...
Corticobasal degeneration (category Rare diseases),"urethritis commonly show symptoms after a few days. Common symptoms include painful urination, continuous urge to urinate, itching and, urethral discharge..."
"Blepharitis (category Disorders of eyelid, lacrimal system and orbit)","eliminated from the diet if symptoms develop. For some people, recurrent distension symptoms worsen their quality of life and thus many resort to health..."
Encephalitis (category Infectious diseases),"neurodegenerative disease involving the cerebral cortex and the basal ganglia. CBD symptoms typically begin in people from 50 to 70 years of age, and the average..."
Arthritis (category Aging-associated diseases),"Ophthalmology. ""Blepharitis Definition - Diseases and Conditions"". Mayo Clinic. ""Blepharitis: Symptoms, Treatment, and Prevention"". WebMD, LLC. Lowery RS (3..."
Myocarditis (category Chronic rheumatic heart diseases),"can be variable with symptoms including reduction or alteration in consciousness, headache, fever, confusion, a stiff neck, and vomiting. Complications..."
Chronic wasting disease,"that affects joints. Symptoms generally include joint pain and stiffness. Other symptoms may include redness, warmth, swelling, and decreased range of motion..."
Genital wart (category Papillomavirus-associated diseases),"or acute based on the severity of symptoms on presentation, as well as the time course over which symptoms develop and persist. This categorization can..."
Sickle cell disease,"proteins called prions and include similar diseases such as BSE (mad cow disease) in cattle, Creutzfeldt-Jakob disease (CJD) in humans and scrapie in sheep..."
Lemierre's syndrome (redirect from Lemierre's disease),"first occurrence or a recurrence of symptoms happening months or years later. Latent HPV, even with no outward symptoms, is still transmissible to a sexual..."
Krabbe disease,"early childhood. The severity of symptoms can vary from person to person. Sickle cell disease may lead to various acute and chronic complications, several..."
Progressive supranuclear palsy (redirect from Steele-Richardson-Olszewski disease),"days to two weeks after the initial symptoms. Symptoms of pulmonary involvement can be shortness of breath, cough and painful breathing (pleuritic chest..."
Gluten-free diet (section Coeliac disease),sphingolipids and is inherited in an autosomal recessive pattern. The disease is named after the Danish neurologist Knud Krabbe (1885–1961). Symptoms in asymptomatic...
Chikungunya (redirect from Chikungunya viral disease),"common early symptoms are changes in personality, general slowing of movement, and visual symptoms. The most common behavioural symptoms in patients with..."
Colitis (category Noninfective enteritis and colitis),"may, in at least some cases, improve gastrointestinal or systemic symptoms in diseases like irritable bowel syndrome, rheumatoid arthritis, or HIV enteropathy..."
Rocky Mountain spotted fever (redirect from Blue disease),Chikungunya virus (CHIKV). Symptoms include fever and joint pains. These typically occur two to twelve days after exposure. Other symptoms may include headache...
Neurogenic bladder dysfunction (section Signs and symptoms),is talking about their disease with a physician who knows the diagnosis. The signs and symptoms of colitis are quite variable and dependent on the cause...
Cushing's disease,fever is nonspecific and may resemble a variety of other infectious and noninfectious diseases.[citation needed] Initial symptoms: Fever Nausea Emesis...
Postorgasmic illness syndrome (category Autoimmune diseases),"cause and the symptoms. Symptoms include overactive bladder, urinary urgency, frequency, incontinence or difficulty passing urine. A range of diseases or..."
Dropsy in fish (redirect from Dropsy (fish disease)),or more of the symptoms listed below because the syndrome itself has no true pathognomonic signs or symptoms. The most common symptoms seen in male patients...
"Amplified musculoskeletal pain syndrome (category Nerve, nerve root and plexus disorders)","and cognitive symptoms following ejaculation. The symptoms usually onset within seconds, minutes, or hours, and last for up to a week. The cause and prevalence..."
Tetanus (redirect from Tetanus disease),"body cavity or tissues. As a symptom rather than a disease in its own right, it can indicate a number of underlying diseases, including bacterial infections..."
Neurocysticercosis (category Parasitic diseases associated with beef and pork consumption),"temperature changes, paresthesia, and changes in nail or hair growth are all common symptoms of AMPS. These symptoms can also cause various other complications..."
Myositis,"incubation periods will have more severe symptoms. In trismus nascentium (i.e. neonatal tetanus), symptoms usually appear from 4 to 14 days after birth..."
Candidiasis (redirect from Thrush (disease)),"called a ""hidden epidemic"" and ""arguably the most common parasitic disease of the human nervous system"". Common symptoms of neurocysticercosis include..."
Thrombotic thrombocytopenic purpura (redirect from Moschcowitz disease),"Myositis is a rare disease that involves inflammation of the muscles. It can present with a variety of symptoms such as skin involvement (i.e., rashes)..."
Latent period (epidemiology) (category Infectious diseases),"diseases. Although IFI associated with digestive diseases are less common, they can induce fatal outcomes due to less specificity of related symptoms..."
Asperger syndrome (redirect from Aspergers symptoms),"tired, confusion, and headaches. Seizures and symptoms similar to those of a stroke can also be seen. Other symptoms include, but are not limited to jaundice..."
"Gastroparesis (category Diseases of oesophagus, stomach and duodenum)","or other bodily fluids. However, for some infectious diseases, the symptoms of the clinical disease may appear after the host becomes infectious. In this..."
Pharyngitis (category Infectious diseases),"pattern of symptoms rather than a single symptom. It is characterized by qualitative impairment in social interaction, by stereotyped and restricted patterns..."
Fabry disease,"graft-versus-host disease. Gastroparesis present similar symptoms to slow gastric emptying caused by certain opioid medications, antidepressants, and allergy medications..."
Sheehan's syndrome (redirect from Simmond's Disease),"that can produce similar symptoms include epiglottitis, thyroiditis, retropharyngeal abscess, and occasionally heart disease. NSAIDs, such as ibuprofen..."
Hernia (section Signs and symptoms),skin. Fabry disease is one of a group of conditions known as lysosomal storage diseases. The genetic mutation that causes Fabry disease interferes with...
Hiatal hernia (section Signs and symptoms),possible to have a mix of any of the signs or symptoms listed below. Sheehan's syndrome's most common initial symptoms are difficulties with or total absence...
Natural history of disease,"femoral. Other types of hernias include hiatus, incisional, and umbilical hernias. Symptoms are present in about 66% of people with groin hernias. This..."
Posterior reversible encephalopathy syndrome (section Signs and symptoms),reflux disease (GERD) or laryngopharyngeal reflux (LPR) with symptoms such as a taste of acid in the back of the mouth or heartburn. Other symptoms may include...
Verticillium dry bubble (section Host range and symptoms),notice any symptoms or signs of disease. This is a subclinical phase that can be subdivided into two more phases: In transmissible diseases (like the flu)...
Dercum's disease,"symptoms or their severity, although severe edema may suggest a poorer prognosis. If the appearances are not typical, other causes for the symptoms and..."
Bell's palsy (section Signs and symptoms),"dry bubble symptoms are dependent on the time point of infection, affecting both the type and severity of the disease symptoms. Symptoms are mild when..."
Lactose intolerance (redirect from Lactase persistence vs. lactose intolerance and deficiencies),"breath However, as it is unclear which symptoms are cardinal and which symptoms are minor signs in Dercum's disease, it is unclear which should be used as..."
Anorexia (symptom),"sides of the face. Other symptoms include drooping of the eyebrow, a change in taste, and pain around the ear. Typically symptoms come on over 48 hours...."
Impetigo (section Signs and symptoms),"can tolerate before symptoms develop. Symptoms may include abdominal pain, bloating, diarrhea, flatulence, and nausea. These symptoms typically start thirty..."
Plague (disease),"humans, loss of appetite can be due to a range of diseases and conditions, as well as environmental and psychological factors. The term is from Ancient..."
Psychosis (section Signs and symptoms),"conditions that can result in symptoms similar to the blistering form include other bullous skin diseases, burns, and necrotizing fasciitis. To prevent..."
Psoriasis (redirect from Early onset and severe psoriasis),"Plague is an infectious disease caused by the bacterium Yersinia pestis. Symptoms include fever, weakness and headache. Usually this begins one to seven..."
Maple syrup urine disease,"real and what is not real. Symptoms may include delusions and hallucinations, among other features. Additional symptoms are incoherent speech and behavior..."
Paresthesia (redirect from Pins and needles),"typically based on the signs and symptoms. There is no known cure for psoriasis, but various treatments can help control the symptoms. These treatments include..."
Major depressive disorder (redirect from Depression symptoms),"will display subtle symptoms within the first 24–48 hours. Subtle symptoms include poor feeding, either bottle or breast, lethargy, and irritability. The..."
West Nile virus (section Disease),"S2CID 79026294. Symptoms of hypocalcemia usually occur when ionized levels fall to <2.5 mg/dL. Symptoms include paresthesias of the extremities and face, followed..."
Anticipation (genetics) (section Examples of diseases showing anticipation),"stimulating effect. In severe cases, depressed people may have psychotic symptoms. These symptoms include delusions or, less commonly, hallucinations, usually unpleasant..."
Paratyphoid fever (category Intestinal infectious diseases),"encephalitis family of viruses. Humans and horses both exhibit disease symptoms from the virus, and symptoms rarely occur in other animals. Contrary..."
Volvulus (category Diseases of intestines),"the symptoms of the genetic disorder become apparent at an earlier age with each generation. In most cases, an increase in the severity of symptoms is..."
Salmeterol (section Pregnancy and lactation),testing is the most accurate. Symptoms are similar to those of many other infectious diseases. Typhus is a different disease. While no vaccine is available...
Polycystic kidney disease,"vomiting, and pain in the upper abdomen. The Borchardt triad is a group of symptoms that help doctors to identify gastric volvulus. The symptoms are intractable..."
Degenerative disease,the maintenance and prevention of asthma symptoms and maintenance of chronic obstructive pulmonary disease (COPD) symptoms. Symptoms of bronchospasm include...
Anaphylaxis (category Respiratory diseases),"Institute of Diabetes and Digestive and Kidney Diseases (NIDDK). Retrieved 3 January 2018. Hildebrandt F (April 2010). ""Genetic kidney diseases"". Lancet. 375..."
Amyloidosis (redirect from Abercrombie's disease),diseases are those that affect circulatory system (e.g. coronary artery disease) and neoplastic diseases (e.g. cancers). Many degenerative diseases exist...
ICD-11 (redirect from ICD-11 MMS Chapter 1: Certain infectious or parasitic diseases),respiratory difficulty or a low blood pressure causing symptoms Two or more of the following symptoms after a likely contact with an allergen: a. Involvement...
Haemophilia B (redirect from Christmas disease),"of diseases in which abnormal proteins, known as amyloid fibrils, build up in tissue. There are several non-specific and vague signs and symptoms associated..."
Alternaria solani (category Fungal plant pathogens and diseases),"Positive symptoms (6A25.0), Negative symptoms (6A25.1), Depressive symptoms (6A25.2), Manic symptoms (6A25.3), Psychomotor symptoms (6A25.4), and Cognitive..."
Chronic mucocutaneous candidiasis (section Signs and symptoms),"Many women carriers of the disease have no symptoms. However, an estimated 10-25% of women carriers have mild symptoms; in rare cases, women may have..."
Atypical pneumonia (section Signs and symptoms),"can also cause stem lesions and fruit rot on tomato and tuber blight on potato. Despite the name ""early,"" foliar symptoms usually occur on older leaves..."
Gastroenterology (section Disease classification),"chromosome 2 has been identified.[medical citation needed] The signs and symptoms of this condition are thickened skin, skin ulcer, dyspareunia, endocardium..."
Endometriosis (section Signs and symptoms),"other diseases.[citation needed] It is commonly known as ""walking pneumonia"" because its symptoms are often mild enough that one can still be up and about..."
CREST syndrome (category Connective tissue diseases),troublesome symptoms or complications. Symptoms are considered troublesome based on how disruptive they are to a patient's daily life and well-being....
Toxic shock syndrome (redirect from Tampon disease),"be used to treat those whose symptoms are not manageable with other treatments. Pain and infertility are common symptoms, although 20–25% of affected..."
Pellagra (category Wikipedia infectious disease articles ready to translate),is not easily diagnosed as it closely mimics symptoms of other connective tissue and autoimmune diseases. Diagnoses are usually given when a patient presents...
Exacerbation (category Symptoms),"caused by bacterial toxins. Symptoms may include fever, rash, skin peeling, and low blood pressure. There may also be symptoms related to the specific underlying..."
Blood in stool,"Pellagra is a disease caused by a lack of the vitamin niacin (vitamin B3). Symptoms include inflamed skin, diarrhea, dementia, and sores in the mouth...."
Nosology (section Extended nosology and general medical conditions),worsening of a disease or an increase in its symptoms. Examples includes an acute exacerbation of chronic obstructive pulmonary disease and acute exacerbation...
Pleurisy (category Symptoms and signs: Respiratory system),"Colon Cancer Symptoms - Colorectal Cancer Symptoms. Webmd.com. 2010-10-31. Retrieved 2012-01-31. ""Crohn's Disease: Inflammatory Bowel Diseases (IBD): Merck..."
Schamberg disease,(study of disease) Category:Diseases and disorders (Wikipedia's categorization of diseases) Symptomatology – study of individual symptoms Stanghellini...
Dermatitis herpetiformis (redirect from Duhring disease),"Inflammatory bowel disease Lung cancer and lymphoma Other lung diseases like cystic fibrosis, sarcoidosis, asbestosis, lymphangioleiomyomatosis, and mesothelioma..."
Benign fasciculation syndrome (section Signs and symptoms),the itching and does not improve the discoloration of the skin. Schamberg's disease causes no other symptoms beside skin discoloration and itching. The...
International Lyme and Associated Diseases Society,"these symptoms may be accompanied by symptoms of coeliac disease, which typically include abdominal pain, bloating or loose stool, weight loss, and fatigue..."
Trinucleotide repeat disorder (redirect from Trinucleotide repeat expansion diseases),"common symptoms are generalized fatigue or weakness, paraesthesia or numbness, and muscle cramping or spasms. Anxiety and somatic symptom disorders and symptoms..."
Hepatitis A (category Vaccine-preventable diseases),"frequently justified due to non-specific symptoms. However, a questionnaire of non-specific symptoms based on an ILADS symptom checklist was found to be not useful..."
Witch's broom (category Plant pathogens and diseases),different symptoms. The non-polyQ diseases or non-coding trinucleotide repeat disorders do not share any specific symptoms and are unlike the PolyQ diseases. In...
Gallbladder disease,"time between infection and symptoms, in those who develop them, is 2–6 weeks. When symptoms occur, they typically last 8 weeks and may include nausea, vomiting..."
Acromegaly (section Signs and symptoms),"a broom or a bird's nest. It is sometimes caused by pathogens. Diseases with symptoms of witches' broom, caused by phytoplasmas or basidiomycetes, are..."
Dysthymia (section Signs and symptoms),"Gallbladder diseases are diseases involving the gallbladder and is closely linked to biliary disease, with the most common cause being gallstones (cholelithiasis)..."
Heart failure (redirect from Congestive heart disease),"initial symptom is typically enlargement of the hands and feet. There may also be an enlargement of the forehead, jaw, and nose. Other symptoms may include..."
Rheumatic fever (redirect from Rheumatic Heart Disease),"symptoms as inevitable can delay treatment. When and if such people seek out treatment, the treatment may not be very effective if only the symptoms of..."
Chest pain (section Signs and symptoms),"and symptoms, caused by an impairment of the heart's blood pumping function. Symptoms typically include shortness of breath, excessive fatigue, and leg..."
Neurasthenia (section Symptoms),"streptococcal throat infection. Signs and symptoms include fever, multiple painful joints, involuntary muscle movements, and occasionally a characteristic non-itchy..."
Palpitations (category Symptoms and signs: Circulatory system),"usually happens during physical activity. Syncope is a late symptom. Signs and symptoms of heart failure may also present. On auscultation, loud ejection..."
Impacted wisdom teeth (section Signs and symptoms),"with three of these five symptoms: ""'weakness' symptoms, 'emotional' symptoms, 'excitement' symptoms, tension-induced pain, and sleep disturbances"" not..."
Pogona (section Metabolic bone disease),"disease, hyperthyroidism, diseases affecting cardiac muscle such as hypertrophic cardiomyopathy, diseases causing low blood oxygen such as asthma and..."
Cryoglobulinemia (category Hepatitis C virus-associated diseases),person has no symptoms. The term asymptomatic should not be equated with absence of disease. Most diseases have no symptoms early in the disease process. A...
Mumps (category Vaccine-preventable diseases),they eventually contract liver diseases. Common symptoms of ADV-positive bearded dragons include stunted growth and slow weight gain. Because of their...
