Diseases,Symptoms,Disease_Present
Eye-tracking tool may aid in early diagnosis of autism,set(),1
New brand drug - Elrexfio (elranatamab-bcmm),set(),1
Aspirin may cut mortality risk in sepsis-associated acute kidney injury,set(),1
How does heat exposure during pregnancy effect maternal well-being?,set(),1
Long-term data suggest continued HPV vaccine efficacy after 10 years,set(),1
"In-hospital adverse event rates similar for haloperidol, atypical antipsychotics",set(),1
Calcium channel blockers and glaucoma risk: What's the association?,set(),1
Is phenylephrine an effective nasal decongestant? FDA thinks not,set(),1
New brand drug - Talvey (talquetamab-tgvs),set(),1
"Your COVID-19 update for September 8, 2023",set(),1
Air pollution linked to dementia cases,set(),1
"Pfizer, Valneva report positive trial results for Lyme disease vaccine candidate",set(),1
Picture Quiz: An intermammary patch,set(),1
WEFUN capsules voluntarily recalled due to undeclared sildenafil,set(),1
Cephalexin for uncomplicated UTI in women: Is qid dosing necessary?,set(),1
Study finds no link between vaccines and MS flare-ups,set(),1
"What your patients are reading: Week of September 4, 2023",set(),1
Who is more likely to use telehealth services for abortion care?,set(),1
New brand drug - Ycanth (cantharidin topical),set(),1
FDA OKs updated 23andMe test to include additional BRCA variants,set(),1
epocrates Featured Calculator: Modified Wells score for DVT,set(),1
"Study suggests marijuana exposes users to lead, cadmium",set(),1
Is pharmacotherapy cost effective for treating obesity in adolescents?,set(),1
New brand drug - Sohonos (palovarotene),set(),1
"What's this pill? | September 7, 2023",set(),1
,set(),0
Podcast Recap | Intention to Treat: Prospects for Pain,set(),1
Clotting proteins measured during acute COVID-19 may predict later brain fog,set(),1
Does lorazepam impact survival rates among cancer patients?,set(),1
CDC issues health warning after 5 killed by 'flesh-eating' bacteria across East Coast,set(),1
Canakinumab approved for treatment of gout flares,set(),1
CDC issues health warning about increasing RSV activity,set(),1
Single-dose psilocybin—more evidence of benefit in major depressive disorder,set(),1
,set(),0
Universal Meditech recalls all products manufactured between March 2021 and November 2022,set(),1
New brand drug - Breyna (budesonide/formoterol inhaled),set(),1
,set(),0
CDC says highly mutated BA.2.86 detected in at least 4 states,set(),1
,set(),0
Does infertility treatment increase risk of stroke?,set(),1
Is statin use associated with recurrent stroke after intracerebral hemorrhage?,set(),1
New brand drug - Izervay (avacincaptad pegol intravitreal),set(),1
More counterfeit pills implicated in U.S. overdose deaths,set(),1
,set(),0
How do you safely add buspirone to SSRI therapy in patients with CV comorbidities?,set(),1
"Sexual activity key to mpox spread, even among those not reporting male-to-male contact",set(),1
New brand drug - Roctavian (valoctocogene roxaparvovec-rvox) (valoctocogene roxaparvovec),set(),1
Test your knowledge: West Nile virus disease,set(),1
Are adults and children with atopic dermatitis at risk of developing IBD?,set(),1
Drugmaker announces ‘unprecedented’ results for ALK inhibitor in early-stage lung cancer trial,set(),1
"Innovative treatment for anorexia nervosa may positively impact body image, anxiety",set(),1
Artificial intelligence may influence how you prescribe pain medications,set(),1
FDA greenlights Rx-only CBT digital therapeutic for patients with T2DM,set(),1
epocrates Featured Calculator: HAS-BLED Bleeding Risk Score,set(),1
"European regulators reviewing semaglutide, liraglutide following reports of suicidal thoughts",set(),1
"What's this pill? | July 13, 2023",set(),1
FDA approves world’s first dual-chamber leadless pacing system,set(),1
"New brand drug - Arexvy (respiratory syncytial virus vaccine, adjuvanted (RSVPreF3))",set(),1
FDA updates its ADHD treatment guidance as school year begins,set(),1
Are women better surgeons than men?,set(),1
Device-detected atrial high-rate episodes without afib: Do they warrant anticoagulation?,set(),1
,set(),0
Treating mother’s postnatal depression also benefits children,set(),1
Several Hamilton Medical ventilators recalled for potential software malfunction,set(),1
"Your COVID-19 update for September 1, 2023",set(),1
Certain SSRIs linked to pro-arrhythmic effects in older patients,set(),1
,set(),0
Picture Quiz: A screaming Texas toddler,set(),1
Evidence builds for SGLT2 inhibitors' anti-gout effects,set(),1
FDA issues warning letters to 3 infant formula manufacturers,set(),1
Is there a link between osteoporosis and Parkinson disease?,set(),1
"What your patients are reading: Week of August 28, 2023",set(),1
Trial evaluates semaglutide in patients with HFpEF and obesity,set(),1
"What's this pill? | August 31, 2023",set(),1
"Fruit and vegetable prescriptions linked to improved food security, cardiometabolic health",set(),1
epocrates Featured Calculator: Sodium Correction in Hyperglycemia,set(),1
Luspatercept-aamt (Reblozyl) indications expanded for myelodysplastic anemia,set(),1
Several factors linked to declining testosterone levels in older men,set(),1
Brand discontinued in U.S. - HyperHEP B S/D (hepatitis B immune globulin (human)),set(),1
Does colchicine protect against afib in patients undergoing thoracic surgery?,set(),1
Parasitic roundworm found in woman's brain,set(),1
,set(),0
Podcast Recap | Huberman Lab: Balancing caffeine intake,set(),1
"COCA Call: Thurs., Aug. 31 - 2023-2024 recommendations for influenza prevention and treatment in children",set(),1
Do common cancer screenings extend lifespan?,set(),1
First generic versions of Vyvanse gain FDA approval,set(),1
CTE diagnosed in more than 40% of athletes who died before age 30,set(),1
"Should frail, older afib patients switch from VKA therapy to a DOAC?",set(),1
What are the naloxone requirements when treating overdose with novel potent opioids?,set(),1
Aseptic meningitis? Encephalitis? Don't rule out arboviruses,set(),1
Zebra of the Week: Alkaptonuria,set(),1
Does increased screen time for infants affect cognitive outcomes into childhood?,set(),1
,set(),0
New/Expanded indications - Ezallor Sprinkle (rosuvastatin),set(),1
Poor drinking water quality may up likelihood of lung infection in cystic fibrosis,set(),1
CMS announces first 10 drugs up for Medicare price negotiations,set(),1
CDC Health Advisory: Important updates on locally acquired malaria cases identified in the U.S.,set(),1
Can chatbots make accurate cancer treatment recommendations?,set(),1
Parkinson disease gene variant found in people of African ancestry,set(),1
Wildfire smoke caused summer spike in emergency department visits,set(),1
Gender-affirming surgery in the U.S. rose between 2016-2020,set(),1
Which patients aren't good candidates for semaglutide therapy?,set(),1
FDA OKs first biosimilar for treatment of MS,set(),1
Does adenotonsillectomy improve dysphagia outcomes in children with sleep apnea?,set(),1
CDC issues guidance on use of nirsevimab for RSV prevention in infants and children,set(),1
Semaglutide may help curb obesity and CVD prevalence in the U.S.,set(),1
CDC launches program to improve sepsis survival rates,set(),1
"Inmar recalls food, drugs, medical devices stored at Texas facility",set(),1
First-time generic drug - darunavir,set(),1
Eye scans detect Parkinson’s disease years before onset,set(),1
Remdesivir now approved for use in patients with hepatic impairment,set(),1
Which antihistamines can interfere with narcolepsy treatment?,set(),1
Hidden ingredients found in 6 'energy boosters',set(),1
Study finds unexpected results about residents and PTSD during COVID,set(),1
Roughly 1 in 5 report mistreatment in perinatal care,set(),1
Early-onset cancer incidence increased in the U.S. between 2010-2019,set(),1
"Frozen corn, mixed vegetables recalled due to possible Listeria monocytogenes contamination",set(),1
"Your COVID-19 update for August 25, 2023",set(),1
Dexamethasone for migraine treatment in the ED: Is a higher dose more beneficial?,set(),1
Picture Quiz: A pigeon keeper with a persistent skin ulcer,set(),1
Dementia diagnosis: An important time to deprescribe medications,set(),1
USPSTF: At-risk patients should take PrEP to prevent HIV infection,set(),1
New indication - Daxxify (daxibotulinumtoxinA-lanm),set(),1
"What your patients are reading: Week of August 21, 2023",set(),1
Healthy lifestyle changes during pregnancy linked to improved outcomes for mothers and children,set(),1
FDA: Don't use certain MSM-containing eye drops,set(),1
Three dead after Listeria found in milkshakes sold at Tacoma restaurant,set(),1
epocrates decision tools - Acute Diverticulitis Dx/Tx,set(),1
New brand drug - Xdemvy (lotilaner ophthalmic),set(),1
Interhospital transfer of acute stroke patients: How are we doing on timeliness?,set(),1
CDC releases influenza vaccination guidance for 2023-24 season,set(),1
"What's this pill? | August 24, 2023",set(),1
,set(),0
,set(),0
Valbenazine (Ingrezza) indications expanded to include Huntington disease chorea,set(),1
Severe COVID-19 may lead to long-lasting changes in patients' immune systems,set(),1
Certain Nuez de la India products appear to contain highly toxic yellow oleander,set(),1
Physical assault during childhood linked to increased risk of mental illness,set(),1
Pain in the year following MI: What's the impact on mortality?,set(),1
,set(),0
RSV vaccine OK'd for use in pregnancy,set(),1
Certain COPD inhaled meds linked to fracture risk,set(),1
Zebra of the Week: Hypermobile Ehlers-Danlos syndrome,set(),1
Does social media counseling delivered by PCPs benefit young individuals?,set(),1
FDA OKs first treatment for CD55-deficient protein-losing enteropathy (CHAPLE disease),set(),1
Can certain breast cancer patients safely omit radiotherapy?,set(),1
How epidemiological and clinical characteristics of mpox differ in patients over age 50,set(),1
Does liraglutide improve brain function in adults with obesity?,set(),1
Tiny turtles behind multistate Salmonella outbreak,set(),1
IV esketamine for augmenting the effects of oral antidepressants: A randomized pilot study,set(),1
"Marijuana and hallucinogen use, binge drinking hit historic highs for middle-aged adults",set(),1
Brand discontinued in U.S - Adhansia XR (methylphenidate),set(),1
Test your knowledge about berberine—dubbed 'nature's Ozempic' on social media,set(),1
New research identifies clotting risk factors for patients with cancer and COVID-19,set(),1
Anti-inflammatory drug boosts efficacy of morning-after pill,set(),1
Is shift work associated with increased rates of depression and anxiety?,set(),1
NIH establishes centers of excellence to expand maternal health research capabilities,set(),1
"Class I Recall: Cardiosave Hybrid and Rescue Intra-aortic Balloon Pumps, due to circuit board failures",set(),1
"CDC tracking new COVID lineage, BA.2.86",set(),1
Why is #BarbieBotox trending on TikTok?,set(),1
Rx-to-OTC switch - Narcan Nasal Spray (naloxone nasal),set(),1
Does ginkgo diterpene lactone meglumine improve outcomes after ischemic stroke?,set(),1
FDA safety update: Don't use certain UV wands due to unsafe radiation levels,set(),1
Study examines effects of low-dose glucocorticoids in RA patients,set(),1
Protecting infants from critical RSV illness: Lessons learned from the 2022 season,set(),1
"Expanded indication - Ervebo (ebola Zaire vaccine, live)",set(),1
"Hospitalizations up for 4th straight week: Your COVID-19 update for August 18, 2023",set(),1
"New brand drug - Cyfendus (anthrax vaccine, adjuvanted)",set(),1
Anti-CD20 monotherapy for MS may heighten risk for severe neuroinvasive West Nile virus,set(),1
Picture Quiz: A pregnant woman with a reticular rash,set(),1
FDA OKs liver-directed treatment for metastatic uveal melanoma,set(),1
Blood-based test detects more than 20 cancer types,set(),1
First treatment for fibrodysplasia ossificans progressiva wins FDA approval,set(),1
"What your patients are reading | Week of August 14, 2023",set(),1
"Exposure to pigs linked to flu viruses in humans, CDC report shows",set(),1
FDA grants accelerated approval to Elrexfio for relapsed or refractory multiple myeloma,set(),1
Do PPIs increase infection risk in children?,set(),1
New epocrates decision tool - Insulin Product Switching,set(),1
"FDA Class I recall: Philips Respironics recalls Trilogy Evo, Evo O2, EV300, and Evo Universal Ventilators",set(),1
Do SGLT2-Is reduce risk of afib recurrence after ablation in patients with T2DM?,set(),1
Will the latest FDA proposal on salt intake do more harm than good?,set(),1
"What's this pill? | August 17, 2023",set(),1
,set(),0
,set(),0
,set(),0
Brand discontinued in U.S - Twynsta (telmisartan/amlodipine),set(),1
FDA warns against using tests manufactured by Universal Meditech,set(),1
Does air pollution increase dementia risk?,set(),1
KFF Poll: 3 out of 10 people say they or someone in their family has been addicted to opioids,set(),1
Can a headset that measures 'headpulse' better gauge concussion recovery?,set(),1
FDA expands Daxxify label to include cervical dystonia treatment,set(),1
,set(),0
,set(),0
Brand discontinued in U.S - Clarinex-D 24 Hour (desloratadine/pseudoephedrine),set(),1
Penicillin shortage continues in U.S. as syphilis rates soar,set(),1
Pedestrian fatalities in the U.S. higher among men,set(),1
FDA grants full approval to pralsetinib for RET fusion–positive NSCLC,set(),1
Generic vs. brand-name fluticasone-salmeterol for COPD treatment: How do they compare?,set(),1
Playing American football and Parkinson disease: What's the association?,set(),1
FDA approves niraparib and abiraterone acetate plus prednisone for prostate cancer,set(),1
When can a drug interaction cause sinus arrest?,set(),1
How does age impact suicide risk?,set(),1
Social factors a driver in higher CVD mortality among Black patients,set(),1
New formulation - pirfenidone,set(),1
Salmonella outbreak linked to ready-to-eat tofu,set(),1
Izervay wins FDA approval for geographic atrophy,set(),1
New brand drug - Suflave (polyethylene glycol/sodium sulfate/potassium chloride/magnesium sulfate/sodium chloride),set(),1
Do blood tests that screen for cancer do more harm than good?,set(),1
Can electrical brain stimulation help your depressed patients?,set(),1
"Kim Kardashian and other celebrity influencers spark controversy over $2,500 out-of-pocket body scan",set(),1
What percentage of cancer survivors engage in risky drinking behaviors?,set(),1
Can finerenone lower cardiovascular risk in diabetic kidney disease?,set(),1
,set(),0
More than half of hospitalized babesiosis patients may have neurologic symptoms,set(),1
"COCA Call: Thurs., Aug. 17 - We must maintain measles elimination in the U.S.",set(),1
"Can exercise reduce depression, burnout, and absenteeism in health care personnel?",set(),1
epocrates Featured Calculator: Enhanced STOP-Bang screen for OSA in adults,set(),1
Long-term use of PPIs linked to higher risk of dementia,set(),1
,set(),0
Picture Quiz: A man with a mamillated rash and fever,set(),1
Exercise paired with cognitive training may delay onset of dementia,set(),1
First-time generic drug - bepotastine ophthalmic,set(),1
White House launches new tracking tool for heat-related illness,set(),1
"What your patients are reading: Week of August 7, 2023",set(),1
,set(),0
Testicular cancer among military personnel linked to 'forever chemicals',set(),1
AI model can pinpoint origin of enigmatic cancers,set(),1
Video bests direct laryngoscopy for tracheal intubation of critically ill adults,set(),1
Impaired odor identification may signal later dementia in Black and White seniors,set(),1
New brand drug - Vanflyta (quizartinib),set(),1
"Lyme disease: Bella Hadid says she's ""finally healthy"" after ""15 years of invisible suffering""",set(),1
"Eris' on the rise: Your COVID-19 update for August 10, 2023",set(),1
"What's this pill? | August 10, 2023",set(),1
Noninvasive nerve stimulator offers alternative treatment for sleep apnea,set(),1
Podcast Recap | KFF Health News: EPIDEMIC - The goddess of smallpox,set(),1
Novel bacteria strain identified after cat bite,set(),1
Withdrawn FDA approval - oxandrolone,set(),1
Only 20% of Medicaid enrollees getting crucial treatment for hepatitis C,set(),1
Hearing aids slow cognitive decline in high-risk older adults,set(),1
"Women over 70 may be overdiagnosed for breast cancer and face unnecessary treatment, study finds",set(),1
WHO launches abortion-care app for health care workers,set(),1
Five things to know about the first oral medication for postpartum depression,set(),1
Zebra of the Week: Hansen's disease,set(),1
U.S. health systems feeling the heat,set(),1
Relying on one-size-fits-all BP cuffs can lead to inaccurate readings,set(),1
Aerobic vs. muscle-strengthening: Which kinds of exercise and intensity reduce mortality risk?,set(),1
"Unhappy family or trauma in youth can lead to poor health in older age, UCSF study finds",set(),1
Antibiotic-resistant Pseudomonas aeruginosa infections linked to ICU sink,set(),1
How a novel cardiac biomarker can stratify risk in chronic CAD,set(),1
USPSTF recommends daily folic acid supplement before pregnancy,set(),1
Semaglutide cuts risk of major CV events,set(),1
Solanezumab no better than placebo at slowing cognitive decline in preclinical Alzheimer disease,set(),1
Childhood TV viewing tied to higher risk of metabolic syndrome in middle age,set(),1
New dosing regimen - Wegovy (semaglutide),set(),1
Are your patients ready for the RSV vaccine?,set(),1
Obesity and the NICE two-year rule: How long should drug treatment last?,set(),1
What’s the natural history of tobacco exposure with preserved spirometry (TEPS)?,set(),1
Can SGLT-2 inhibitors reduce gout flares and hospitalizations?,set(),1
Study finds high burden of oral HPV in older men,set(),1
Americans want weight-loss drugs but not their potential costs or medical drawbacks,set(),1
Fleaborne typhus on the rise in LA County with 3 deaths reported in 2022,set(),1
New brand drug - Ngenla (somatrogon),set(),1
"COCA Call: Thurs., Aug 10 - Clinical vaccination guidance for pregnant people",set(),1
Are first-time users of hormonal contraceptives at increased risk of developing asthma?,set(),1
CDC recommends new immunization to protect infants from severe RSV disease,set(),1
FDA approves first oral treatment for postpartum depression,set(),1
Medical professionals sound the alarm on vaping-related child nicotine poisoning,set(),1
"AAP reaffirms gender-affirming care policy, calls for research review to guide update",set(),1
Two lots of oral contraceptive Tydemy recalled due to possible reduced effectiveness,set(),1
FDA/DEA Letter to Americans: Stimulant drug shortage,set(),1
"Early peanut feeding practices gaining traction, but more work is needed",set(),1
Picture Quiz: Skin changes with hand and foot weakness,set(),1
Scientists develop breath test that rapidly detects COVID-19 virus,set(),1
Can common bed bugs transmit MRSA?,set(),1
Zilebesiran shows early promise in treating hypertension,set(),1
"What your patients are reading: Week of July 31, 2023",set(),1
Health officials urge TB testing for persons working in poultry plants in North Alabama in wake of outbreak,set(),1
Are patients with RA at higher risk of aortic stenosis?,set(),1
epocrates decision tools - Lyme Disease Dx & Tx - 2023 Update,set(),1
Croup symptoms improve with cold air exposure,set(),1
CGRP monoclonal antibodies for migraine: Do they affect COVID-19 outcomes?,set(),1
FDA Class I recall: SIGMA Spectrum infusion pump and system,set(),1
"Your COVID-19 update for August 3, 2023",set(),1
"What's this pill? | August 3, 2023",set(),1
What’s new? Machine learning’s role in advancing deep brain stimulation,set(),1
Podcast Recap | AMA Update: The future of AI in medicine and what it means for physicians and practices,set(),1
Georgia resident dies from rare Naegleria fowleri brain infection,set(),1
New frontline treatment option greenlighted for endometrial cancer,set(),1
Is leprosy endemic in Florida?,set(),1
Amazon Clinic expands nationwide to provide messaging and video visits for common health conditions,set(),1
VA to study possible links between toxic exposures and certain cancers in service members,set(),1
White House launches Medicare Dementia Care program,set(),1
Large Danish cohort study finds statin effectiveness may rise with patient's age,set(),1
FDA Class I recall: TruSignal SpO2 sensors,set(),1
ACP: Start colorectal cancer screening at age 50,set(),1
Alpha-gal syndrome: Can you identify when symptoms begin?,set(),1
FDA expands indications of Ebola vaccine to include pediatric use,set(),1
Meta-analysis: HIV transmission risk near zero with low viral loads,set(),1
Bacterial testing could reduce antibiotic use in pediatric sinusitis,set(),1
Small trial finds psilocybin safe in females with anorexia nervosa,set(),1
Study highlights competing priorities of parenthood and career for women physicians,set(),1
FDA approves Balfaxar for warfarin reversal,set(),1
Voclosporin found to be safe and effective in long-term lupus nephritis trial,set(),1
Albuminuria testing widely underutilized in patients at risk for CKD,set(),1
FDA Class I recall: Impella left-sided blood pumps,set(),1
Zebra of the Week: Hidradentitis suppurativa,set(),1
Do epidural analgesia and oxytocin given during labor increase the risk of autism in children?,set(),1
Is cadmium exposure a risk factor for endometriosis?,set(),1
CDC: Few clinicians familiar with alpha-gal syndrome,set(),1
New brand drug - Litfulo (ritlecitinib),set(),1
"Your COVID-19 Update for July 31, 2023",set(),1
COVID-19: Study finds Paxlovid underused at U.S. nursing homes,set(),1
TB cases linked to viable bone matrix material,set(),1
Can short bursts of vigorous activity lower cancer risk?,set(),1
Liraglutide effective following poor response to metabolic surgery,set(),1
CDC: Travel-linked dengue cases in U.S. peaked in 2019,set(),1
"Vegetarian diet may significantly improve cholesterol, blood sugar, and body weight",set(),1
FDA OKs second OTC naloxone nasal spray,set(),1
"Low-dose aspirin may increase intracranial bleeding in healthy, older adults",set(),1
Study explains link between CV risk and obstructive sleep apnea,set(),1
New brand drug - Brenzavvy (bexagliflozin),set(),1
"Novel, rapid-acting drug effective for postpartum depression in phase 3 trial",set(),1
New brand drug - Elevidys (delandistrogene moxeparvovec),set(),1
Picture Quiz: Party lips,set(),1
Kratom: What are the potential risks?,set(),1
Rivaroxaban and warfarin similarly safe and effective in patients with CKD,set(),1
Multiplex PCR assay outperforms standard culture for diagnosing respiratory infection,set(),1
"What your patients are reading: Week of July 24, 2023",set(),1
Atomoxetine plus oxybutynin improves multiple variables in OSA,set(),1
FDA approves pulmonary stent to treat pediatric pulmonary artery stenosis,set(),1
epocrates Featured Calculator: MELDNa score,set(),1
How well does HPV vaccination protect against anal HPV and neoplasia?,set(),1
Withdrawn FDA approval - Gavreto (pralsetinib),set(),1
Cancer-associated thrombosis: Anticoagulants compared,set(),1
Xdemvy approved for treatment of Demodex blepharitis,set(),1
"What's this pill? | July 27, 2023",set(),1
Advancements in automated insulin pumps: Tandem Diabetes Care’s Mobi,set(),1
Podcast Recap | Hematuria with Dr. Derek Fine,set(),1
Novel thrombolytic noninferior to alteplase in acute ischemic stroke,set(),1
Patient-controlled epidural anesthesia—Start early for faster post-op pain relief,set(),1
First treatment for molluscum contagiosum wins FDA approval,set(),1
CDC releases guidance on use of RSV vaccines in older adults,set(),1
Women treated for breast cancer may age faster than cancer-free women,set(),1
What's the prevalence of arthritis among children and adolescents?,set(),1
Diagnostic error: Which diseases account for the greatest burden of harms?,set(),1
Zebra of the Week: Hereditary angioedema (HAE),set(),1
Cervical pessary no better than usual care for preterm birth prevention,set(),1
Finger prick test shows promise in detecting Alzheimer disease,set(),1
What are older adults’ medical preferences for the end of life?,set(),1
New indication - Talzenna (talazoparib),set(),1
Charcoal production and use linked to respiratory and nonrespiratory diseases,set(),1
White House opens permanent pandemic preparedness office,set(),1
"Tornado damage to Pfizer plant not likely to lead to major drug shortages, FDA says",set(),1
Daily statin reduces heart disease risk among adults living with HIV,set(),1
"More than 300,000 CUPKIN children’s cups recalled due to high lead levels",set(),1
FDA Class I Recall: Megadyne recalls MEGA 2000 and MEGA SOFT products,set(),1
CDC: Soft tick relapsing fever in the U.S. from 2012 to 2021,set(),1
Gastric bypass surgery linked to risk for substance use disorders,set(),1
Omega-3 fatty acids show promise for maintaining lung health,set(),1
FDA grants approval to adjuvanted anthrax vaccine,set(),1
To reduce antibiotic use for asymptomatic bacteriuria—Avoid unnecessary urine cultures,set(),1
Outbreak of Shiga toxin–producing E. coli linked to farming camp,set(),1
Expanded indication - Nucynta (tapentadol),set(),1
Nine out of 10 herbal sports supplements not accurately labeled,set(),1
FDA approves quizartinib for newly diagnosed acute myeloid leukemia,set(),1
Maternal vaccine elicits antibodies against invasive group B strep in infants,set(),1
MIND diet for brain health shows unexpected results in new clinical trial,set(),1
Is there a genetic basis for COVID-19 'super dodgers'?,set(),1
Tornado damage to North Carolina Pfizer plant raises concerns about more drug shortages,set(),1
Study examines incidence and prevalence of vitiligo in U.S.,set(),1
New brand drug - Adstiladrin (nadofaragene firadenovec),set(),1
Low-dose atropine fails to slow myopia progression in children,set(),1
Does vitamin D3 supplementation reduce afib risk in healthy individuals?,set(),1
Picture quiz: An ill-appearing man with recurring target lesions,set(),1
Expanded indication - Leqvio (inclisiran),set(),1
USPSTF: Evidence lacking for lipid screening in younger patients,set(),1
FDA migraine medication approvals: Trials have had inconsistent endpoints,set(),1
"What your patients are reading: Week of July 17, 2023",set(),1
Testosterone therapy linked to increased CVD risks in cisgender women,set(),1
epocrates decision tools - H. pylori Tx in Adults & Children - Update,set(),1
New brand drugs - Humira (adalimumab) biosimilars now available,set(),1
In which U.S. regions is Alzheimer's most prevalent?,set(),1
FDA Class I Recall: Stop using the Quidel Triage Cardiac Panel,set(),1
FDA greenlights new device to treat BPH,set(),1
"What's this pill? | July 20, 2023",set(),1
Advancements in feeding tube placement: NGPOD®,set(),1
Podcast Recap | Guidelines review: Management of severe traumatic brain injury,set(),1
Does a gun safety video affect children's behavior around guns?,set(),1
Dual antiplatelet therapy noninferior to alteplase in minor stroke,set(),1
New brand drug - Hadlima (adalimumab),set(),1
Vaginal estrogen may help prevent UTI in women with estrogen deficiency,set(),1
Historical redlining linked to worse CV outcomes among U.S. veterans,set(),1
"FDA: Don't use RoyalVibe Health, CellQuicken, or Well-Being Reality ultrasound medical devices",set(),1
Can you ace this airline medical emergencies quiz?,set(),1
Zebra of the Week: Synovial sarcoma,set(),1
Donanemab slows Alzheimer's progression in phase 3 trial,set(),1
Screen-and-treat for bacterial vaginosis: Does it prevent preterm births?,set(),1
Cognitively stimulating activities linked to lower dementia risk in later life,set(),1
"COCA Call: Thurs., July 20 - Review of malaria diagnosis and treatment in the U.S.",set(),1
New brand drug - Columvi (glofitamab),set(),1
"CDC: Cannabis-related ED visits increased in young adults, children during pandemic",set(),1
Remdesivir cleared for use in patients with severe renal impairment,set(),1
P2Y12 inhibitors superior to aspirin for secondary prevention in CAD,set(),1
AI helps accurately triage respiratory symptoms in primary care,set(),1
FDA approves new monoclonal antibody to prevent RSV in babies and toddlers,set(),1
New brand drug - Rystiggo (rozanolixizumab),set(),1
Do immunomodulators shorten COVID-19 pneumonia recovery time?,set(),1
Arizona EDs treat more heatstroke as temperatures hit record highs,set(),1
PPI use may shorten survival for some NSCLC patients on ICI therapy,set(),1
WHO expert agencies consider aspartame a 'possible' carcinogen,set(),1
Carpal tunnel syndrome linked to subsequent heart failure,set(),1
How football raises the risk for chronic traumatic encephalopathy,set(),1
ED visits for teenage girls spiked during pandemic,set(),1
How does maternal egg consumption after birth impact infant egg allergy risk?,set(),1
"NOxBOXi Nitric Oxide System recalled due to risk of gas leaks, therapy interruption",set(),1
Drug-Drug Interaction Quiz: Severe pancytopenia caused by drug interaction,set(),1
New oral cancer survival calculator highlights importance of coexisting conditions,set(),1
Time-restricted eating works as well as calorie counting for weight loss in patients with obesity,set(),1
Campaign aims to create world's largest library of diverse medical images,set(),1
CDC urges 'one-and-done' office visit for hep C testing,set(),1
"Hairdressing, construction among professions linked to ovarian cancer risk",set(),1
WHO: Ongoing avian influenza outbreaks in animals pose risk to humans,set(),1
"Lisa Marie Presley died from bowel obstruction, medical officials say",set(),1
Picture Quiz: A mottled belly,set(),1
Update: Paclitaxel-coated devices for PAD,set(),1
Meta-analysis weighs clinical outcomes of obesity drugs,set(),1
Kindergartener vaccination coverage lowest in last decade,set(),1
"What your patients are reading: Week of July 10, 2023",set(),1
New brand drug - Vyvgart Hytrulo (efgartigimod alfa/hyaluronidase),set(),1
USDA: Transmission of SARS-CoV-2 in free-ranging white-tailed deer in the U.S.,set(),1
New/Expanded indications - Abrilada (adalimumab),set(),1
FDA approves first OTC daily oral contraceptive,set(),1
Podcast Recap | Intention to Treat: Unleashing CRISPR on Cancer,set(),1
EPA proposes stricter limits on lead exposure in homes and child care facilities,set(),1
Study compares aortic aneurysm/dissection risk among fluoroquinolone and macrolide users,set(),1
Screening newborns for deadly immune disorder saves lives,set(),1
New brand drug - Vyjuvek (beremagene geperpavec topical),set(),1
Novel risk score may predict new-onset afib,set(),1
New brand drug - Miebo (perfluorohexyloctane ophthalmic),set(),1
Mask reuse has minimal impact on upper respiratory microbiome,set(),1
Can you identify the symptoms of primary amebic meningoencephalitis (PAM)?,set(),1
Liquid biopsy shows promise in identifying HPV-associated oropharyngeal cancer,set(),1
Zebra of the Week: Vestibular schwannoma,set(),1
More Americans living alone than ever before,set(),1
Is long-acting ART effective in patients with HIV viremia?,set(),1
New brand drug - Elfabrio (pegunigalsidase alfa),set(),1
Patients on rituximab at risk for severe disease from mosquito- and tickborne viruses,set(),1
New brand drug - Hyrimoz (adalimumab),set(),1
"Investigational three-month TB regimen is safe but ineffective, NIH study finds",set(),1
Investigational antiviral shows promise as hepatitis D treatment,set(),1
Pain relief in the ED: Acetaminophen vs. IV/IM NSAIDs or opioids,set(),1
Severe dengue rare among returning travelers,set(),1
340B Program Helps Diabetes Patient Make Ends Meet,set(),1
“Best Dental Care” for the Boyle Family,set(),1
Community resources ease health concerns for Yankton patient,set(),1
Why Should You Get The Flu Shot?,set(),1
Tips to Staying Well This Winter,set(),1
Diabetes Often Goes Undiagnosed,set(),1
"With School Started, It’s Time to Schedule Your Primary Care Visit",set(),1
Horizon telemedicine connects Burmese man with life-saving treatment,set(),1
Stress and Self-Care,set(),1
Horizon Clinic helps Myanmar family find treatment for 5-year-old son,set(),1
Creating a Heart Healthy Lifestyle,set(),1
Lexy Eggert Named Chief Development & Strategy Officer,set(),1
Common Health Questions,set(),1
Boost Mental Health In Your Life,set(),1
Health-Related Resolutions for the New Year,set(),1
Stay Healthy During the Flu Season,set(),1
5 Tips for Healthy Eating During the Holidays,set(),1
Changing kids’ lives – one book at a time,set(),1
Horizon Health Care breaks ground on new Lake Preston clinic,set(),1
Melissa Hofer Named Chief Financial Officer,set(),1
Horizon Health Care Names Wade Erickson as CEO,set(),1
Horizon Colorectal Screening Partnership for 2021,set(),1
"Horizon Health Care Announces Len Wonnenberg, PA-C, as 2020 Provider of the Year",set(),1
Horizon Health Care Announces Jessica Weber as 2020 Employee of the Year,set(),1
"Cindy Foss, RDH, Joins De Smet Dental Services",set(),1
"Kylie Beckman, RDH, Joins Prairie Winds Dental",set(),1
Horizon Health Care CEO Earns Regional Award,set(),1
